نام خودرو,وضعیت,سال,قیمت (تومان),قیمت عددی
فونیکس آریزو ۶ جی‌ تی,صفر کیلومتر,1403,"2,260,000,000",2260000000
جیلی آزکارا,صفر کیلومتر,نامشخص,"2,250,000,000",2250000000
کیا سورنتو مدل ۲۰۱۰-۲۰۱۳,کارکرده,نامشخص,"2,235,000,000",2235000000
سوبا M4,صفر کیلومتر,1402,"2,200,000,000",2200000000
فونیکس FX,صفر کیلومتر,1401,"2,188,000,000",2188000000
هیوندای i40,کارکرده,نامشخص,"2,185,000,000",2185000000
لکسوس RX مدل ۲۰۰۸-۲۰۰۹,کارکرده,نامشخص,"2,185,000,000",2185000000
ولوو V40,کارکرده,نامشخص,"2,185,000,000",2185000000
کیا کادنزا مدل ۲۰۱۱-۲۰۱۳,کارکرده,نامشخص,"2,185,000,000",2185000000
بی ام و X1 مدل ۲۰۱۳-۲۰۱۵,کارکرده,2013,"2,185,000,000",2185000000
هوندا آکورد ۲۰۱۳-۲۰۱۶,کارکرده,نامشخص,"2,185,000,000",2185000000
هوندا آکورد مدل ۲۰۱۳-۲۰۱۴,کارکرده,نامشخص,"2,185,000,000",2185000000
کی ام سی T8,صفر کیلومتر,نامشخص,"2,160,000,000",2160000000
رنو اسکالا کروک,کارکرده,نامشخص,"2,135,000,000",2135000000
کیا اپتیما مدل ۲۰۱۲-۲۰۱۶,کارکرده,نامشخص,"2,135,000,000",2135000000
رنو اسکالا کروک مدل ۲۰۱۵-۲۰۱۶,کارکرده,2013,"2,135,000,000",2135000000
سانگ یانگ کوراندو ۲۰۱۸,کارکرده,نامشخص,"2,135,000,000",2135000000
سانگ یانگ رکستون مدل ۲۰۱۳,کارکرده,نامشخص,"2,135,000,000",2135000000
هیوندای اکسنت مونتاژ,صفر کیلومتر,نامشخص,"2,115,000,000",2115000000
ونوسیا V-Online,صفر کیلومتر,نامشخص,"2,100,000,000",2100000000
فیدلیتی,صفر کیلومتر,نامشخص,"2,100,000,000",2100000000
چانگان CS35 پلاس,صفر کیلومتر,2023,"2,095,000,000",2095000000
بی ام و سری ۱ کوپه,کارکرده,نامشخص,"2,085,000,000",2085000000
هایما S7 پرو,صفر کیلومتر,1403,"2,080,000,000",2080000000
هایما ۷X,صفر کیلومتر,نامشخص,"2,077,000,000",2077000000
کی ام سی K7,صفر کیلومتر,نامشخص,"2,066,000,000",2066000000
DS5 LS,کارکرده,نامشخص,"2,055,000,000",2055000000
دیگنیتی,صفر کیلومتر,نامشخص,"2,040,000,000",2040000000
دیگنیتی پرایم,صفر کیلومتر,نامشخص,"2,040,000,000",2040000000
هایما S7 توربو پلاس سفارشی,صفر کیلومتر,نامشخص,"2,038,000,000",2038000000
کیا اپتیما مدل ۲۰۱۴-۲۰۱۶,کارکرده,نامشخص,"2,035,000,000",2035000000
فوتون تونلند نیوفیس,صفر کیلومتر,نامشخص,"2,028,000,000",2028000000
کی ام سی X5,صفر کیلومتر,نامشخص,"2,020,000,000",2020000000
هایما S7 توربو پلاس,صفر کیلومتر,نامشخص,"2,013,000,000",2013000000
کی ام سی J7,صفر کیلومتر,نامشخص,"2,010,000,000",2010000000
تیارا مکث موتور,صفر کیلومتر,1402,"2,000,000,000",2000000000
تویوتا کرولا مدل ۲۰۱۴-۲۰۱۶,کارکرده,نامشخص,"1,995,000,000",1995000000
رنو لتیتود,کارکرده,نامشخص,"1,990,000,000",1990000000
بی ام و سری ۳ کوپه مدل ۲۰۰۷-۲۰۱۲,کارکرده,نامشخص,"1,990,000,000",1990000000
بی ام و سری ۶ کوپه,کارکرده,نامشخص,"1,990,000,000",1990000000
هیوندای جنسیس کوپه مدل ۲۰۱۲-۲۰۱۳,کارکرده,نامشخص,"1,990,000,000",1990000000
تویوتا هایلوکس مدل ۲۰۰۸-۲۰۱۱,کارکرده,نامشخص,"1,960,000,000",1960000000
DS5,کارکرده,نامشخص,"1,960,000,000",1960000000
فونیکس آریزو ۶ پرو,صفر کیلومتر,نامشخص,"1,955,000,000",1955000000
دایون Y7,صفر کیلومتر,نامشخص,"1,940,000,000",1940000000
زوتی دامای X7,کارکرده,نامشخص,"1,940,000,000",1940000000
هیوندای جنسیس,کارکرده,نامشخص,"1,940,000,000",1940000000
شاین مکس,صفر کیلومتر,نامشخص,"1,936,000,000",1936000000
بنز E کلاس مدل ۲۰۰۲-۲۰۰۹,کارکرده,نامشخص,"1,920,000,000",1920000000
سوزوکی بالنو,صفر کیلومتر,نامشخص,"1,900,000,000",1900000000
بنز SLK مدل ۲۰۰۵-۲۰۰۷,کارکرده,نامشخص,"1,890,000,000",1890000000
فوتون ساوانا,کارکرده,نامشخص,"1,890,000,000",1890000000
هایما S5 پرو,صفر کیلومتر,1404,"1,890,000,000",1890000000
بی ام و سری ۶ کروک,کارکرده,نامشخص,"1,890,000,000",1890000000
بورگوارد BX7,کارکرده,نامشخص,"1,890,000,000",1890000000
بی ام و سری ۳ کروک مدل ۲۰۰۷-۲۰۱۲,کارکرده,نامشخص,"1,890,000,000",1890000000
ام وی ام X55 پرو,صفر کیلومتر,نامشخص,"1,870,000,000",1870000000
هایما S5 پلاس,صفر کیلومتر,نامشخص,"1,870,000,000",1870000000
کیا پگاس,صفر کیلومتر,2023,"1,860,000,000",1860000000
